Store ID,Location,Store Size,Store Type,Promotion ID,Type of Promotion,Promotion Start Date,Promotion End Date,Weekly Sales During Promotion,Weekly Sales Before Promotion,Weekly Sales After Promotion,Average Daily Visits During Promotion,Average Daily Visits Before Promotion,Average Daily Visits After Promotion
002,Los Angeles,1500,Suburban,102,Buy-One-Get-One,2023-05-15,2023-05-28,"$45,000.00","$35,000.00","$30,000.00",450,400,375
005,Phoenix,1700,Urban,105,Buy-One-Get-One,2023-04-20,2023-05-04,"$53,000.00","$34,000.00","$36,000.00",475,350,370
008,San Diego,2000,Urban,108,Buy-One-Get-One,2023-06-22,2023-07-06,"$56,000.00","$43,000.00","$39,000.00",530,420,410
011,Austin,1600,Suburban,111,Buy-One-Get-One,2023-08-01,2023-08-15,"$45,000.00","$37,000.00","$34,000.00",410,370,350
014,Columbus,1650,Urban,114,Buy-One-Get-One,2023-05-25,2023-06-08,"$55,000.00","$41,000.00","$45,000.00",520,400,430
017,El Paso,1300,Suburban,117,Buy-One-Get-One,2023-07-12,2023-07-26,"$44,000.00","$42,000.00","$40,000.00",390,380,370
020,Boston,1650,Urban,120,Buy-One-Get-One,2023-04-10,2023-04-24,"$54,000.00","$40,000.00","$41,000.00",510,390,400
023,Louisville,1350,Suburban,123,Buy-One-Get-One,2023-06-20,2023-07-04,"$48,000.00","$36,000.00","$37,000.00",410,350,360
001,New York,2000,Urban,101,Discount,2023-06-01,2023-06-14,"$50,000.00","$30,000.00","$35,000.00",400,300,350
004,Houston,1600,Suburban,104,Discount,2023-06-10,2023-06-24,"$48,000.00","$32,000.00","$33,000.00",425,310,320
007,San Antonio,1400,Suburban,107,Discount,2023-07-15,2023-07-29,"$42,000.00","$39,000.00","$37,000.00",350,340,360
010,San Jose,1750,Urban,110,Discount,2023-04-15,2023-04-29,"$52,000.00","$33,000.00","$41,000.00",500,320,390
013,Fort Worth,1550,Suburban,113,Discount,2023-06-18,2023-07-02,"$43,000.00","$35,000.00","$36,000.00",400,340,350
016,Detroit,1900,Urban,116,Discount,2023-08-10,2023-08-24,"$58,000.00","$44,000.00","$42,000.00",540,430,420
019,Baltimore,1500,Suburban,119,Discount,2023-05-05,2023-05-19,"$49,000.00","$37,000.00","$36,000.00",420,360,350
022,Denver,1600,Urban,122,Discount,2023-07-18,2023-08-01,"$50,000.00","$39,000.00","$42,000.00",480,370,400
025,Milwaukee,1500,Suburban,125,Discount,2023-04-20,2023-05-04,"$47,000.00","$35,000.00","$38,000.00",400,340,370
003,Chicago,1800,Urban,103,Special Event,2023-07-01,2023-07-14,"$60,000.00","$40,000.00","$40,000.00",500,350,450
006,Philadelphia,1800,Urban,106,Special Event,2023-08-05,2023-08-19,"$49,000.00","$31,000.00","$41,000.00",480,300,400
009,Dallas,1500,Suburban,109,Special Event,2023-05-10,2023-05-24,"$47,000.00","$36,000.00","$38,000.00",420,365,380
012,Jacksonville,1450,Urban,112,Special Event,2023-07-20,2023-08-03,"$51,000.00","$38,000.00","$42,000.00",470,360,410
015,Charlotte,1750,Suburban,115,Special Event,2023-04-30,2023-05-14,"$46,000.00","$34,000.00","$37,000.00",415,335,360
018,Memphis,1450,Urban,118,Special Event,2023-06-15,2023-06-29,"$47,000.00","$35,000.00","$39,000.00",410,330,380
021,Nashville,1550,Suburban,121,Special Event,2023-08-15,2023-08-29,"$45,000.00","$33,000.00","$35,000.00",400,320,330
024,Portland,1400,Urban,124,Special Event,2023-05-15,2023-05-29,"$52,000.00","$41,000.00","$43,000.00",470,400,420
